time,latitude,longitude,depth,mag,magType,magSource
2023-11-07T18:18:37.750Z,35.8173332,-117.6449966,7.6,1,ml,ci
2023-11-07T18:00:12.290Z,32.9041672,-116.939003,5.11,1.77,ml,ci
2023-11-07T17:57:19.906Z,38.8848,-118.586,11,3,ml,nn
2023-11-07T17:48:18.767Z,63.1276,-144.2723,0,1.9,ml,ak
2023-11-07T17:21:39.210Z,19.19799995,-155.4851685,31.72999954,2.01999998,md,hv
2023-11-07T17:09:03.943Z,63.177,-150.499,115.5,1.9,ml,ak
2023-11-07T17:05:21.380Z,33.284668,-116.8278351,12.95,1.09,ml,ci
2023-11-07T17:04:00.045Z,30.832,-103.549,0.8028,1.6,ml(texnet),tx
2023-11-07T16:41:26.800Z,58.5896,-154.8585,0,1.7,ml,ak
2023-11-07T16:14:28.630Z,37.7360001,-122.1340027,3.05,1.77,md,nc
2023-11-07T15:56:49.683Z,62.9699,-151.2325,120.9,1.2,ml,ak
2023-11-07T15:48:28.689Z,62.3595,-150.2057,20,1.3,ml,ak
2023-11-07T15:45:11.642Z,61.8745,-149.312,0,2.5,ml,ak
2023-11-07T15:38:31.643Z,31.631,-104.354,6.183,2.5,ml(texnet),tx
2023-11-07T15:36:34.798Z,31.657,-104.372,4.0573,2.4,mlv,tx
2023-11-07T15:32:02.386Z,59.835,-152.1308,5.9,1.1,ml,ak
2023-11-07T15:30:10.995Z,62.283,-151.0983,90.7,1.6,ml,ak
2023-11-07T15:24:15.500Z,34.0038338,-117.1763306,11.17,1.3,ml,ci
2023-11-07T15:20:38.780Z,34.103,-117.4213333,4.55,1.12,ml,ci
2023-11-07T15:18:47.837Z,62.1753,-148.2711,28.6,1.3,ml,ak
2023-11-07T14:57:09.720Z,36.0493333,-120.028,24.4,2.44,md,nc
2023-11-07T14:33:55.510Z,33.4861667,-116.7573333,7.2,0.56,ml,ci
2023-11-07T14:17:35.476Z,62.7229,-149.305,59.4,1.5,ml,ak
2023-11-07T14:15:28.587Z,61.0366,-148.3781,0,1.4,ml,ak
2023-11-07T13:56:05.260Z,38.767334,-122.7321701,2.19,1.27,md,nc
2023-11-07T13:54:42.339Z,36.9981,-115.9502,11.3,0.5,ml,nn
2023-11-07T13:47:28.195Z,32.007,-103.85,5.5839,1.5,ml(texnet),tx
2023-11-07T13:46:10.452Z,63.3947,-149.7111,1.3,1.5,ml,ak
2023-11-07T13:38:46.680Z,38.8143349,-122.7623367,1.82,0.95,md,nc
2023-11-07T13:34:36.110Z,38.8305016,-122.8171692,1.73,1.49,md,nc
2023-11-07T13:33:33.208Z,-7.7145,127.3432,177.075,4.5,mb,us
2023-11-07T13:27:55.130Z,38.179,-112.2851667,6.62,1.39,md,uu
2023-11-07T13:26:37.130Z,38.831665,-122.8184967,1.61,0.77,md,nc
2023-11-07T13:21:16.830Z,38.8186684,-122.7946701,3.42,0.74,md,nc
2023-11-07T13:20:39.260Z,38.8334999,-122.8146667,1.73,0.76,md,nc
2023-11-07T13:18:15.860Z,33.516,-116.5556667,12.93,0.63,ml,ci
2023-11-07T13:14:16.530Z,33.6951667,-116.7453333,16.82,0.48,ml,ci
2023-11-07T12:52:34.824Z,33.7849,139.6061,124.532,4.4,mb,us
2023-11-07T12:34:13.554Z,63.2699,-150.548,123.1,1.8,ml,ak
2023-11-07T12:25:13.090Z,19.25300026,-155.4069977,30.81999969,2.23,ml,hv
2023-11-07T12:13:22.369Z,62.799,-151.106,94.1,1.2,ml,ak
2023-11-07T12:10:46.387Z,50.7309,175.4341,15.057,4.4,mb,us
2023-11-07T12:09:41.700Z,60.8406,-149.7621,32.7,1.6,ml,ak
